main_user,userid,screen_name,name,description,contributors_enabled,protected,followers,following_cnt,followers_cnt,listed_cnt,status_cnt,favourites_cnt,language,created-at,verified,url,avatar,users_twt_date,location
contra_investor,115254670,drvasuutpat,Vasu utpat,,False,False,followers,12,5,0,16,3,en,2010-02-18 03:07:04,False,,,2019-02-04 14:14:57,
contra_investor,23722623,WhateyDeals,WhateyDeal.in,Best #Deals on #Amazon #flipkart #jabong #myntra and #coupons,False,False,followers,2366,2315,30,81377,0,en,2009-03-11 04:30:23,False,https://t.co/7qqfMmNFWP,,2019-04-05 08:27:33,India
contra_investor,242410099,TechJobStats,TechJobStats,TechJobStats tracks & analyzes software and IT jobs by Technology & Region.Create a Better Career Path - Build Better Teams with Our Reviews and Analysis,False,False,followers,1554,903,27,41,0,en,2011-01-24 18:32:41,False,http://t.co/991lXBJ3qZ,,2011-05-29 10:15:05,SF Bay Area
contra_investor,314817361,ShantanuNisal,Shantanu Nisal,,False,False,followers,15,5,0,2,0,en,2011-06-10 21:19:36,False,,,2011-06-28 14:33:35,Nashik
contra_investor,270382573,tis_bj,Barry Jones,,False,False,followers,27,122,0,50,2,en,2011-03-22 14:28:03,False,,,2018-08-07 13:44:31,United Kingdom
contra_investor,29171517,murugessh,murugessh,cb,False,False,followers,38,43,0,5,0,en,2009-04-06 09:28:07,False,http://t.co/rIWOcJyMpm,,2018-04-24 13:34:51,Coimbatore  India
contra_investor,2524663520,Vimal3271,Vimal Dinakaran,,False,False,followers,34,18,0,4,0,en,2014-05-26 10:04:46,False,,,2017-07-27 15:57:33,
contra_investor,298103272,ShivdattaM,Shivdatta Marathe,figuring out who am I,False,False,followers,223,36,1,76,0,en,2011-05-13 17:50:36,False,,,2017-11-23 08:31:01,India
contra_investor,2617134792,MrRahulDevRana,EmailMarketingDelhi,,False,False,followers,1915,380,0,1,0,en,2014-07-11 11:03:54,False,,,2015-02-11 07:12:53,
contra_investor,2428084700,jatashankar_jha,Jatashankar Jha,???? ?? ?????? ??? ?? ????? ???? ????? ???? ??? ??? ????? ????? ?? ????? ??????? ???? ??? ??? ???? ?? ??? ?? ??? ???? ???? ?????? ?? ???? ???? ??,False,False,followers,1918,307,0,621,5,en,2014-04-05 01:20:52,False,,,2018-11-04 13:05:57,Bihar
contra_investor,2913318373,shahparags,Parag Shah,,False,False,followers,55,23,0,1,2,en,2014-11-29 04:09:09,False,,,2014-11-30 02:39:24,
contra_investor,1543514040,DragomirOana,Oana #ILove1D ,,False,False,followers,196,83,4,453,184,ro,2013-06-24 15:38:41,False,,,2015-06-03 07:10:03,
contra_investor,224955587,mujahidtaseer,??????? ??????? ?????,?????????? ???????? ????? ?? ????????????? ??????? ???? ?? ??  ??? ??????#????? ??#????? ????? ??#??? ??#????? ??#??? ????#?????????#???????????????,False,False,followers,3030,1069,6,9065,1923,en,2010-12-10 08:41:34,False,,,2019-04-04 18:34:09,The City of Eagles  Pakistan
contra_investor,2554125240,vidyash02116137,vidyashankar,,False,False,followers,7,2,0,1,0,en,2014-06-08 07:38:31,False,,,2014-07-12 03:06:02,
contra_investor,18927376,rameshsingh06,CricketMarshall,Writer Movie buff books NLP Travelling,False,False,followers,585,240,14,4074,2337,en,2009-01-13 03:53:42,False,,,2019-04-05 04:17:36,India
contra_investor,4122510434,BIMLESH2015,Bimlesh kumar,,False,False,followers,54,4,0,1,0,en,2015-11-04 09:32:49,False,,,2015-11-04 09:50:53,
contra_investor,4138807752,cuteguysngirls,harmony,Retweeting cuties & DM pics to be posted!,False,False,followers,766,84,0,8,5,en,2015-11-05 21:04:12,False,,,2015-12-06 07:57:49,
contra_investor,3095271991,vidhya23167,Vidhydhar Benare I N,.RASTRASEVAK,False,False,followers,697,279,4,13246,4761,en,2015-03-18 06:04:07,False,,,2019-04-03 10:14:52,MH
contra_investor,2515827860,RuchiKom,Chowkidar Gaurav Shukla??,??Academician??????NAMO Fan??????Can debate with PMModi critics??????Join Sankalp Se Siddhi Mission????MOTIVE:SUSTAINABLE DEVELOPMENT GOAL?????? ?????????,False,False,followers,11415,13864,30,19401,8679,en,2014-05-22 16:34:28,False,https://t.co/mRDQnAvFFk,,2019-04-05 02:51:36,Gujarat India
contra_investor,4159699214,SolarCookerZone,Solar Cooker Zone,We promote the use of solar cookers and solar cooking for a prosperous and sustainable future. https://t.co/9fHNR5upE0,False,False,followers,4499,817,9,4,2,en,2015-11-07 18:15:01,False,https://t.co/5iy705ypr2,,2015-12-18 19:35:22,
contra_investor,488827280,nikkarni,Nikhil Kulkarni,CEO @ Kronikare Hospice #kronikare There is no path to happiness. Happiness is the path. - #Buddha,False,False,followers,436,105,2,32,10,en,2012-02-10 21:56:22,False,https://t.co/KiOHZiufeH,,2019-01-12 20:40:24,San Jose  CA
contra_investor,4655600070,R5101967,Rajansharma 5101967,?,False,False,followers,1323,222,8,4033,3554,en,2015-12-26 14:20:01,False,,,2016-07-31 11:31:31,
contra_investor,3134925108,khan_khan343,sarwar.khan,,False,False,followers,6,1,0,14,19,en,2015-04-03 09:44:26,False,,,2016-03-28 06:30:48,
contra_investor,4811856253,ace7cfc6b1f54cb,Ajit Pawar,,False,False,followers,244,19,0,9,95,en,2016-01-25 10:20:56,False,,,2016-05-13 16:36:31,
contra_investor,79759994,n_vasu,narayanam srinivas,,False,False,followers,27,12,0,3,0,en,2009-10-04 15:47:59,False,,,2016-04-02 12:50:25,
contra_investor,716387182953545728,ADShoppk,ADShop.pk,Online Shopping starting 20 Aprillike Facebook page,False,False,followers,1004,95,0,2,2,en,2016-04-02 22:09:49,False,https://t.co/HPoRctOC4F,,2016-04-05 12:20:07,Karachi  Pakistan
contra_investor,2925052922,Chari_Marri,Charimarri Baloch,we want free Balochistan @UN,False,False,followers,3109,778,2,347,96,en,2014-12-10 02:39:17,False,,,2016-10-19 09:34:48,independent Balochistan 
contra_investor,718684197280477184,qaisar12786,Qaisar Abbas,,False,False,followers,6,3,0,1,0,en,2016-04-09 06:17:19,False,,,2016-04-11 14:59:57,
